City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,porto belo,-27.1578,-48.5531,70.09,97,100,12.82,BR,1689210347
193,igrim,63.1906,64.4162,57.79,67,54,10.47,RU,1689210347
194,kailua-kona,19.6406,-155.9956,80.51,87,79,5.01,US,1689210347
195,auray,47.6703,-2.9918,63.75,90,27,8.66,FR,1689210347
196,santa ana,33.7456,-117.8678,98.49,29,40,9.22,US,1689210059
197,garcia,25.8167,-100.5833,96.66,31,80,4.94,MX,1689210348
198,lubango,-14.9172,13.4925,48.06,40,0,6.91,AO,1689210348
199,urzhar,47.093,81.6294,82.29,31,0,3.98,KZ,1689210348
200,jiuquan,39.7432,98.5174,73.83,28,4,20.24,CN,1689210348
201,mount pearl,47.5166,-52.7813,58.06,93,40,5.75,CA,1689210348
202,flying fish cove,-10.4217,105.6791,76.68,78,75,16.11,CX,1689210349
203,chonchi,-42.6128,-73.8092,43.12,94,100,2.82,CL,1689210349
204,upata,8.0086,-62.3989,72.68,88,34,4.43,VE,1689210349
205,waspan,14.7419,-83.9717,76.98,97,92,3.36,NI,1689210349
206,manakara,-22.1333,48.0167,63.41,74,79,6.87,MG,1689210349
207,airdrie,55.866,-3.9803,54.79,86,26,7.92,GB,1689210162
208,ylitornio,66.3089,23.6773,58.03,59,100,4.21,FI,1689210349
209,cockburn town,21.4612,-71.1419,82.63,84,0,17.98,TC,1689210350
210,sinabang,2.4803,96.3801,79.16,81,100,4.03,ID,1689210350
211,tsiombe,-25.3,45.4833,65.5,54,96,9.01,MG,1689210350
212,kalkaman,51.9525,76.0211,88.93,28,17,5.93,KZ,1689210350
213,dakhla,23.6848,-15.958,68.31,94,7,15.61,EH,1689210350
214,kongsvinger,60.1905,11.9977,57.87,99,89,3.36,NO,1689210351
215,hami,42.8,93.45,82.26,19,0,4.09,CN,1689210351
216,latrobe,40.3212,-79.3795,79.3,66,0,0.0,US,1689210104
217,okha,53.5739,142.9478,61.95,65,41,15.59,RU,1689210351
218,omdurman,15.6445,32.4777,90.61,36,14,12.37,SD,1689210352
219,dingwall,57.5953,-4.4272,55.9,88,95,4.68,GB,1689210352
220,ta`u,-14.2336,-169.5144,80.98,81,25,16.15,AS,1689210352
221,pointe-noire,-4.7761,11.8635,69.08,96,49,3.83,CG,1689210352
222,batticaloa,7.7102,81.6924,80.1,74,44,1.97,LK,1689210353
223,north shore,-36.8,174.75,61.47,73,5,8.01,NZ,1689210353
224,wucheng,29.6008,118.175,87.21,67,100,3.11,CN,1689210353
225,arkhangel'sk,64.5401,40.5433,54.68,65,100,10.36,RU,1689210353
226,gambiran satu,-8.3939,114.1464,75.43,90,98,4.54,ID,1689210353
227,aksu,41.1231,80.2644,77.92,35,0,5.88,CN,1689210353
228,tolanaro,-25.0319,46.9987,63.14,70,27,5.84,MG,1689210354
229,ilulissat,69.2167,-51.1,50.02,71,20,0.0,GL,1689210354
230,nizhnyaya poyma,56.1622,97.1933,65.64,69,7,4.5,RU,1689210354
231,oriximina,-1.7656,-55.8661,79.79,69,100,3.83,BR,1689210354
232,inari,68.906,27.0288,57.4,54,100,3.04,FI,1689210354
233,el porvenir,13.7617,-87.3458,78.13,73,100,5.68,HN,1689210354
234,touros,-5.1989,-35.4608,74.73,89,9,9.33,BR,1689210076
235,madalena,41.2162,-8.3345,61.56,87,94,2.13,PT,1689210355
236,minas de marcona,-15.2119,-75.1103,54.52,87,67,15.14,PE,1689210355
237,carlos chagas,-17.7031,-40.7664,68.72,82,0,6.98,BR,1689210355
238,karagay,58.2667,54.9368,56.01,95,100,7.78,RU,1689210355
239,petropavlovsk-kamchatsky,53.0452,158.6483,66.79,49,20,6.71,RU,1689210355
240,opuwo,-18.0607,13.84,46.8,31,0,7.61,NA,1689210356
241,cabo san lucas,22.8909,-109.9124,94.3,62,20,16.11,MX,1689210335
242,qaqortoq,60.7167,-46.0333,41.45,94,98,1.99,GL,1689210356
243,nova sintra,14.8667,-24.7167,70.99,79,15,4.92,CV,1689210356
244,bori,4.6737,7.362,75.34,93,100,5.03,NG,1689210356
245,lazaro cardenas,17.9583,-102.2,83.64,79,18,9.48,MX,1689210356
246,phillipsburg,40.6937,-75.1902,79.56,73,66,2.59,US,1689210357
247,maracai,-22.6106,-50.6672,70.0,51,22,7.09,BR,1689210357
248,smara,26.7384,-11.6719,87.03,31,43,13.71,EH,1689210357
249,whitehorse,60.7161,-135.0538,52.57,93,100,9.22,CA,1689210298
250,kodiak,57.79,-152.4072,56.71,82,100,5.75,US,1689210357
251,kourou,5.1552,-52.6478,73.45,87,19,1.05,GF,1689210357
252,mili,6.0815,171.735,83.53,76,6,18.59,MH,1689210357
253,katiola,8.1333,-5.1,72.23,97,23,5.19,CI,1689210358
254,north bend,43.4065,-124.2243,73.92,72,0,13.8,US,1689209845
255,port lincoln,-34.7333,135.8667,56.71,54,20,21.23,AU,1689210358
256,palmer,42.1584,-72.3287,78.35,81,75,5.75,US,1689210090
257,tucuma,-0.1833,-50.05,75.49,92,8,3.76,BR,1689210096
258,orestiada,41.5911,26.3469,73.29,63,0,0.58,GR,1689210358
259,horsham,51.064,-0.3272,60.51,92,20,2.3,GB,1689209739
260,tindouf,27.6711,-8.1474,100.85,10,1,6.91,DZ,1689210358
261,kudahuvadhoo,2.6708,72.8944,81.72,75,35,5.59,MV,1689210359
262,alta,69.9689,23.2717,65.46,52,0,6.91,NO,1689210359
263,hamilton,39.1834,-84.5333,82.56,60,0,11.5,US,1689210339
264,port macquarie,-31.4333,152.9167,66.88,53,0,5.79,AU,1689210359
265,udachny,66.4167,112.4,54.66,47,89,17.47,RU,1689210143
266,ponta delgada,37.7333,-25.6667,72.32,94,75,18.41,PT,1689210359
267,akureyri,65.6835,-18.0878,42.73,81,100,13.8,IS,1689210063
268,mangrol,21.1167,70.1167,81.61,81,65,10.8,IN,1689210360
269,mawlamyinegyunn,16.3833,95.2667,81.84,82,78,7.61,MM,1689210360
270,ocos,14.5094,-92.1933,84.38,76,100,8.19,GT,1689210360
271,kedzierzyn-kozle,50.3498,18.2261,66.18,91,100,3.2,PL,1689210360
272,san antonio de pale,-1.4014,5.6325,74.1,91,20,9.55,GQ,1689210092
273,boa vista,2.8197,-60.6733,78.78,83,40,1.14,BR,1689210360
274,terbanggi besar,-4.8667,105.2333,77.05,85,99,4.63,ID,1689210360
275,dwarka,22.2394,68.9678,82.58,76,43,14.23,IN,1689210361
276,chilliwack,49.1747,-121.9443,79.52,57,34,8.05,CA,1689210361
277,jackson,42.4165,-122.8345,91.02,27,0,5.75,US,1689209892
278,vila do maio,15.1333,-23.2167,79.59,80,14,5.23,CV,1689210361
279,fada,9.5667,8.3,67.95,98,40,2.08,NG,1689210361
280,khanty-mansiysk,61.0042,69.0019,60.91,94,40,8.99,RU,1689210361
281,zyrya,40.3661,50.2917,71.69,64,33,8.57,AZ,1689210361
282,urengoy,65.9667,78.3667,46.8,52,1,11.01,RU,1689210362
283,swabi,34.1199,72.4699,88.03,49,2,5.55,PK,1689210362
284,sandefjord,59.1312,10.2167,57.56,93,100,6.91,NO,1689210362
285,el granada,37.5027,-122.4694,82.92,78,100,17.27,US,1689210363
286,vernon,50.2581,-119.2691,76.53,50,100,4.61,CA,1689210363
287,colonia,50.9333,6.95,62.94,66,0,6.91,DE,1689210318
288,sao joao da barra,-21.6403,-41.0511,73.49,86,41,19.53,BR,1689210122
289,pangkalanbuun,-2.6833,111.6167,80.33,79,100,2.39,ID,1689210363
290,mount isa,-20.7333,139.5,71.37,56,0,12.66,AU,1689210364
